Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,136.331787,-132.431388,90.0,bottom
C2,100n,C_0402_1005Metric,146.866593,-138.167485,180.0,bottom
C3,100n,C_0402_1005Metric,135.763,-130.937,0.0,bottom
C4,100n,C_0402_1005Metric,146.33125,-131.48125,180.0,bottom
C5,100n,C_0402_1005Metric,146.85568,-137.121052,180.0,bottom
C6,100n,C_0402_1005Metric,139.442322,-141.057223,270.0,bottom
C7,1u,C_0402_1005Metric,140.445929,-141.064658,270.0,bottom
C8,1u,C_0402_1005Metric,52.313712,-69.548759,270.0,bottom
C9,1u,C_0402_1005Metric,57.702555,-69.589871,90.0,bottom
C11,100n,C_0402_1005Metric,92.075,-130.175,90.0,bottom
C12,220p,C_0402_1005Metric,129.007714,-137.853131,90.0,bottom
C13,100n,C_0402_1005Metric,138.345929,-141.057223,270.0,bottom
C14,100n,C_0402_1005Metric,187.325,-130.175,90.0,bottom
C15,100n,C_0402_1005Metric,37.1,-52.5525,90.0,bottom
C16,100n,C_0402_1005Metric,37.11518,-55.5625,90.0,bottom
C17,100n,C_0402_1005Metric,37.1,-63.8175,90.0,bottom
C18,100n,C_0402_1005Metric,35.052,-68.834,270.0,bottom
D1,PRTR5V0U2X,SOT-143,58.735621,-63.354972,0.0,bottom
F_USBC1,500mA,Fuse_1206_3216Metric,55.5625,-63.5,270.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,67.34375,-73.025,180.0,bottom
J3,USB_C sink board 1.3mm,USB4510031A,57.15,-51.45,180.0,bottom
J4,Conn_01x05,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,266.7,-88.10625,180.0,bottom
LED1,SK6812MINI-E,LED_6028R,32.6,-63.8175,180.0,bottom
LED2,SK6812MINI-E,LED_6028R,32.599,-58.185,180.0,bottom
LED3,SK6812MINI-E,LED_6028R,32.599,-52.5525,180.0,bottom
R1,100k,R_0402_1005Metric,139.319,-127.76166,90.0,bottom
R2,100,R_0402_1005Metric,133.428916,-127.728308,270.0,bottom
R3,100,R_0402_1005Metric,134.493,-127.736234,270.0,bottom
R4,100,R_0402_1005Metric,135.578946,-127.735266,270.0,bottom
R5,100,R_0402_1005Metric,136.652,-127.745871,270.0,bottom
R6,100,R_0402_1005Metric,137.707458,-127.763239,270.0,bottom
R7,100k,R_0402_1005Metric,136.015,-141.19375,180.0,bottom
R8,10k,R_0402_1005Metric,139.949723,-142.663937,180.0,bottom
R9,10k,R_0402_1005Metric,135.252011,-132.413511,270.0,bottom
R10,100k,R_0402_1005Metric,78.865,-128.5875,0.0,bottom
R11,10k,R_0402_1005Metric,146.84375,-135.73125,180.0,bottom
R12,5.1k,R_0402_1005Metric,55.753,-57.785,270.0,bottom
R13,5.1k,R_0402_1005Metric,59.055,-57.785,270.0,bottom
R15,100k,R_0402_1005Metric,69.899148,-128.5875,180.0,bottom
R16,100k,R_0402_1005Metric,48.135,-128.5875,180.0,bottom
R17,100k,R_0402_1005Metric,94.242704,-125.82919,0.0,bottom
R18,100k,R_0402_1005Metric,113.499913,-128.577309,0.0,bottom
R19,1k,R_0402_1005Metric,130.96875,-141.19375,0.0,bottom
R20,100k,R_0402_1005Metric,187.833,-127.0,180.0,bottom
R21,100k,R_0402_1005Metric,161.13125,-128.5875,0.0,bottom
R22,100k,R_0402_1005Metric,146.84375,-128.5875,0.0,bottom
R23,100k,R_0402_1005Metric,192.88125,-139.7,270.0,bottom
R24,100k,R_0402_1005Metric,216.69375,-128.5875,180.0,bottom
R25,100k,R_0402_1005Metric,235.74375,-128.5875,180.0,bottom
R26,100k,R_0402_1005Metric,254.79375,-128.577309,180.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,141.2875,-134.9375,90.0,bottom
U2,XC6206PxxxMR,SOT-23,54.916939,-69.05625,0.0,bottom
U3,74AHCT1G125,SOT-23-5,32.6,-68.409875,90.0,bottom
U4,74HC4051,TSSOP16,95.376055,-134.93689,270.0,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,133.35,-138.01875,180.0,bottom
U6,74HC4051,TSSOP16,190.626055,-134.93689,270.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,143.157464,-141.748285,180.0,bottom
