Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0402_1005Metric,146.05,-130.575,180.0,bottom
C10,100n,C_0402_1005Metric,34.925,-60.325,0.0,bottom
C11,100n,C_0402_1005Metric,34.925,-65.85993,0.0,bottom
C12,100n,C_0402_1005Metric,34.652,-69.034,270.0,bottom
C13,1u,C_0402_1005Metric,52.313712,-69.548759,270.0,bottom
C14,1u,C_0402_1005Metric,57.702555,-69.589871,90.0,bottom
C15,100nF,C_0402_1005Metric,134.2252,-140.227019,90.0,bottom
C16,100n,C_0402_1005Metric,103.1875,-130.175,90.0,bottom
C17,220pF NP0,C_0402_1005Metric,128.937103,-139.216654,270.0,bottom
C18,100n,C_0402_1005Metric,177.8,-130.175,90.0,bottom
C2,100nf,C_0402_1005Metric,134.14375,-131.7625,0.0,bottom
C3,100nf,C_0402_1005Metric,144.9425,-139.7,180.0,bottom
C4,100nf,C_0402_1005Metric,134.14375,-130.575,0.0,bottom
C5,10uF,C_0402_1005Metric,144.9425,-140.8875,180.0,bottom
C6,100nf,C_0402_1005Metric,139.249142,-141.730531,270.0,bottom
C7,100nf,C_0402_1005Metric,141.2875,-141.754651,270.0,bottom
C8,1uF,C_0402_1005Metric,140.304304,-141.730531,270.0,bottom
C9,100n,C_0402_1005Metric,34.925,-54.76875,0.0,bottom
D1,PRTR5V0U2X,SOT-143,58.735621,-63.354972,0.0,bottom
F_USBC1,500mA,Fuse_1206_3216Metric,55.5625,-63.5,270.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,67.34375,-73.025,180.0,bottom
J4,USB_C sink board 1.3mm,USB4510031A,57.15,-52.2875,180.0,bottom
J5,Conn_01x05,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,266.7,-88.10625,180.0,bottom
LED1,SK6812MINI-E,SK6812-MINI-E,32.6,-63.8175,0.0,bottom
LED2,SK6812MINI-E,SK6812-MINI-E,32.599,-58.185,0.0,bottom
LED3,SK6812MINI-E,SK6812-MINI-E,32.599,-52.5525,0.0,bottom
R1,100,R_0402_1005Metric,139.7,-127.79375,90.0,bottom
R10,100k,R_0402_1005Metric,69.899148,-128.5875,180.0,bottom
R11,100k,R_0402_1005Metric,48.135,-128.5875,180.0,bottom
R12,100k,R_0402_1005Metric,104.49125,-127.79375,0.0,bottom
R13,100k,R_0402_1005Metric,113.699913,-128.577309,0.0,bottom
R14,100k,R_0402_1005Metric,130.807511,-141.453333,180.0,bottom
R15,1k,R_0402_1005Metric,134.244447,-138.315463,270.0,bottom
R17,100k,R_0402_1005Metric,178.8775,-127.79375,0.0,bottom
R18,100k,R_0402_1005Metric,161.13125,-128.5875,0.0,bottom
R19,100k,R_0402_1005Metric,146.84375,-128.5875,0.0,bottom
R2,100,R_0402_1005Metric,135.421458,-127.758819,270.0,bottom
R20,100k,R_0402_1005Metric,183.35625,-139.7,270.0,bottom
R21,100k,R_0402_1005Metric,216.69375,-128.5875,180.0,bottom
R22,100k,R_0402_1005Metric,235.74375,-128.5875,180.0,bottom
R23,100k,R_0402_1005Metric,254.79375,-128.577309,180.0,bottom
R3,100,R_0402_1005Metric,136.485542,-127.766745,90.0,bottom
R4,100,R_0402_1005Metric,137.571488,-127.765777,90.0,bottom
R5,100,R_0402_1005Metric,138.644542,-127.776382,90.0,bottom
R6,5.1k,R_0402_1005Metric,55.753,-58.085,270.0,bottom
R7,5.1k,R_0402_1005Metric,59.055,-58.085,270.0,bottom
R8,10k,R_0402_1005Metric,186.53125,-134.9375,90.0,bottom
R9,100k,R_0402_1005Metric,78.865,-128.5875,0.0,bottom
U1,STM32F072CBUx,LQFP-48_7x7mm_P0.5mm,140.49375,-134.9375,90.0,bottom
U2,74AHCT1G125,SOT-23-5,32.2,-68.609875,90.0,bottom
U3,XC6206PxxxMR,SOT-23,54.916939,-69.05625,0.0,bottom
U4,74HC4051,TSSOP16,106.3625,-134.9375,270.0,bottom
U5,OPA354,SOT-23-5,131.6125,-139.216654,180.0,bottom
U6,74HC4051,TSSOP16,180.975,-134.9375,270.0,bottom
