Comment,Designator,Footprint,LCSC
1k,R19,R_0402_1005Metric,C11702
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
OPA350,U5,SOIC-8_3.9x4.9mm_P1.27mm,C13388
Conn_01x05,J4,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,C136657
220p,C12,C_0402_1005Metric,C1530
JST SH,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
4.7u,C1,C_0402_1005Metric,C23733
100,"R2,R3,R4,R5,R6",R_0402_1005Metric,C25076
100k,"R1,R10,R15,R16,R17,R18,R20,R21,R22,R23,R24,R25,R26,R7",R_0402_1005Metric,C25741
10k,"R11,R8,R9",R_0402_1005Metric,C25744
5.1k,"R12,R13",R_0402_1005Metric,C25905
PRTR5V0U2X,D1,SOT-143,C2827688
USB_C sink board 1.3mm,J3,USB4510031A,C3019717
100n,"C11,C13,C14,C15,C16,C17,C18,C2,C3,C4,C5,C6",C_0402_1005Metric,C307331
SK6812MINI-E,"LED1,LED2,LED3",LED_6028R,C5149201
1u,"C7,C8,C9",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
74HC4051,"U4,U6",TSSOP16,C5645
500mA,F_USBC1,Fuse_1206_3216Metric,C70076
74AHCT1G125,U3,SOT-23-5,C7468
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975
